# Depth,LaunchAngle,ArrivalAngle,ArrivalAngleCalc
9.400000000000000000e+02,3.357421875000000000e+01,7.987029031291180559e+01,4.673682925316206394e+01
9.500000000000000000e+02,3.357421875000000000e+01,4.593512952450075204e+01,4.673682925316206394e+01
9.600000000000000000e+02,3.322265625000000000e+01,4.591087824734798772e+01,4.617580924325757508e+01
9.700000000000000000e+02,3.287109375000000000e+01,7.503928823957213012e+01,4.561823032591520644e+01
9.800000000000000000e+02,3.251953125000000000e+01,7.311931041541910758e+01,4.506395902036212675e+01
9.900000000000000000e+02,3.251953125000000000e+01,4.449558738395032265e+01,4.506395902036212675e+01
1.000000000000000000e+03,3.216796875000000000e+01,7.138484053224897252e+01,4.451286901749124780e+01
1.010000000000000000e+03,3.181640625000000000e+01,6.978800271228952568e+01,4.396484065779413442e+01
1.020000000000000000e+03,3.181640625000000000e+01,4.325436254952668236e+01,4.396484065779413442e+01
1.030000000000000000e+03,3.146484374999999645e+01,4.340308575177760275e+01,4.341976045651244931e+01
1.040000000000000000e+03,3.111328124999999645e+01,6.689518527948247595e+01,4.287752067090752917e+01
1.050000000000000000e+03,3.111328124999999645e+01,4.218374461405255715e+01,4.287752067090752917e+01
1.060000000000000000e+03,3.076171874999999645e+01,6.556350159243518760e+01,4.233801890518533639e+01
1.070000000000000000e+03,3.041015624999999289e+01,6.429217681106118221e+01,4.180115774916060190e+01
1.080000000000000000e+03,3.041015624999999289e+01,4.127866068490077822e+01,4.180115774916060190e+01
1.090000000000000000e+03,3.005859375000000000e+01,6.307264108509680511e+01,4.126684444721562528e+01
1.100000000000000000e+03,3.005859375000000000e+01,4.024368444484620966e+01,4.126684444721562528e+01
1.110000000000000000e+03,2.970703125000000000e+01,4.054146559609827705e+01,4.073499059451546600e+01
1.120000000000000000e+03,2.935546875000000355e+01,6.076315661427759807e+01,4.020551185779492442e+01
1.130000000000000000e+03,2.935546875000000355e+01,3.959423242940590626e+01,4.020551185779492442e+01
1.140000000000000000e+03,2.900390625000000355e+01,5.966329245704160655e+01,3.967832771833801786e+01
1.150000000000000000e+03,2.900390625000000355e+01,3.872038213490154135e+01,3.967832771833801786e+01
1.160000000000000000e+03,2.865234375000000355e+01,3.912447312992262027e+01,3.915336123503779930e+01
